CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12593.0,108,3,48952.350000000006,2,3,2,At Risk
12594.0,37,11,343717.22,3,5,5,Potential Loyalist
12596.0,50,2,64399.53,3,2,2,About To Sleep
12597.0,18,5,491017.15,4,4,5,Champions
12598.0,9,9,341431.71,5,5,5,Champions
12599.0,28,7,132408.76,4,4,3,Loyal Customers
12600.0,28,11,154047.48,4,5,4,Champions
12601.0,189,6,62897.55,1,4,2,At Risk
12602.0,58,1,28803.26,3,1,1,About To Sleep
12603.0,21,1,11580.1,4,1,1,New Customers
12604.0,78,2,44911.65,2,2,2,About To Sleep
12605.0,364,1,12564.19,1,1,1,Lost
12607.0,57,2,525145.58,3,2,5,About To Sleep
12609.0,77,3,136117.68,2,3,3,At Risk
12610.0,22,7,281371.79,4,4,4,Champions
12611.0,51,1,166484.01,3,1,4,About To Sleep
12612.0,57,2,66564.72,3,2,2,About To Sleep
12613.0,30,6,410409.81,4,4,5,Champions
12614.0,277,1,59353.61,1,1,2,Lost
12615.0,1,4,277978.14,5,4,4,Champions
12616.0,84,5,91167.76,2,4,3,At Risk
12617.0,28,1,125568.03,4,1,3,New Customers
12618.0,21,1,25677.489999999998,4,1,1,New Customers
12619.0,15,13,257918.54,4,5,4,Champions
12620.0,14,3,214184.98,4,3,4,Loyal Customers
12621.0,1,23,1116093.13,5,5,5,Champions
12622.0,231,1,30729.21,1,1,1,Lost
12623.0,275,1,42649.52,1,1,2,Lost
12624.0,105,2,123962.13,2,2,3,About To Sleep
12625.0,211,3,248436.17,1,3,4,At Risk
12626.0,22,13,788897.17,4,5,5,Champions
12627.0,10,7,557073.51,5,4,5,Champions
12628.0,3,4,129261.39,5,4,3,Loyal Customers
12630.0,9,2,176365.88,5,2,4,Loyal Customers
12631.0,56,1,61220.32,3,1,2,About To Sleep
12633.0,58,5,274962.28,3,4,4,Potential Loyalist
12635.0,89,2,251521.74,2,2,4,About To Sleep
12637.0,66,10,927869.78,3,5,5,Potential Loyalist
12638.0,32,1,89893.9,3,1,3,About To Sleep
12639.0,238,1,48390.54,1,1,2,Lost
12640.0,23,3,123705.38,4,3,3,Loyal Customers
12641.0,114,1,27135.84,2,1,1,About To Sleep
12642.0,24,3,130167.2,4,3,3,Loyal Customers
12643.0,127,6,61789.61,2,4,2,At Risk
12644.0,129,1,81522.06,2,1,3,About To Sleep
12645.0,33,5,159959.89,3,4,4,Potential Loyalist
12646.0,4,2,109347.67,5,2,3,Loyal Customers
12647.0,21,13,327642.59,4,5,5,Champions
12648.0,154,1,51506.53,2,1,2,About To Sleep
12649.0,106,4,84790.27,2,4,3,At Risk
12650.0,2,1,60688.13,5,1,2,New Customers
12651.0,334,1,19062.5,1,1,1,Lost
12652.0,321,2,143557.86,1,2,3,Other
12653.0,148,2,112462.02,2,2,3,About To Sleep
12654.0,10,5,85058.88,5,4,3,Loyal Customers
12656.0,16,8,297451.81,4,5,4,Champions
12657.0,10,5,127580.72,5,4,3,Loyal Customers
12658.0,18,1,91619.56,4,1,3,New Customers
12659.0,29,1,9620.599999999999,4,1,1,New Customers
12660.0,10,1,26553.64,5,1,1,New Customers
12662.0,0,12,597073.88,5,5,5,Champions
12664.0,7,10,86232.46,5,5,3,Loyal Customers
12665.0,324,2,3346.23,1,2,1,Lost
12666.0,358,1,6171.55,1,1,1,Lost
12667.0,57,1,90453.65,3,1,3,About To Sleep
12668.0,6,6,416929.38,5,4,5,Champions
12669.0,150,4,240739.13,2,4,4,At Risk
12670.0,9,6,196991.19,5,4,4,Champions
12672.0,329,1,26337.910000000003,1,1,1,Lost
12673.0,4,2,88085.51,5,2,3,Loyal Customers
12674.0,11,7,236932.76,4,4,4,Champions
12676.0,24,6,106702.85,4,4,3,Loyal Customers
12678.0,41,13,423180.76,3,5,5,Potential Loyalist
12679.0,51,9,172047.4,3,5,4,Potential Loyalist
12680.0,0,4,135828.55000000002,5,4,3,Loyal Customers
12681.0,14,27,1550022.12,4,5,5,Champions
12682.0,3,31,1357209.51,5,5,5,Champions
12683.0,3,20,971330.14,5,5,5,Champions
12684.0,7,7,283119.19,5,4,4,Champions
12685.0,27,6,367672.12,4,4,5,Champions
12686.0,371,1,10484.83,1,1,1,Lost
12688.0,113,1,411340.82,2,1,5,About To Sleep
12689.0,25,2,218690.78,4,2,4,Loyal Customers
12690.0,205,1,36448.61,1,1,2,Lost
12691.0,27,6,89529.75,4,4,3,Loyal Customers
12693.0,120,6,116778.59,2,4,3,At Risk
12694.0,69,2,100424.5,3,2,3,About To Sleep
12695.0,6,4,65675.4,5,4,2,Loyal Customers
12697.0,20,5,111554.02,4,4,3,Loyal Customers
12700.0,7,6,702760.5,5,4,5,Champions
12701.0,79,2,140302.02,2,2,3,About To Sleep
12702.0,19,1,59776.28,4,1,2,New Customers
12703.0,63,2,58367.81,3,2,2,About To Sleep
12704.0,6,10,248030.52,5,5,4,Champions
12705.0,14,14,947897.59,4,5,5,Champions
12707.0,291,1,85627.83,1,1,3,Other
12708.0,29,16,455839.17,4,5,5,Champions
12709.0,2,26,628053.21,5,5,5,Champions
12710.0,96,4,202481.51,2,4,4,At Risk
12712.0,22,17,373352.41,4,5,5,Champions
12713.0,0,1,84926.02,5,1,3,New Customers
12714.0,8,5,624751.87,5,4,5,Champions
12715.0,105,1,67148.81,2,1,2,About To Sleep
12716.0,3,2,176034.56,5,2,4,Loyal Customers
12717.0,150,3,147777.95,2,3,3,At Risk
12718.0,70,1,44483.56,3,1,2,About To Sleep
12719.0,4,3,118785.73,5,3,3,Loyal Customers
12720.0,2,29,916521.68,5,5,5,Champions
12721.0,31,7,466896.05,4,4,5,Champions
12722.0,84,6,155654.69,2,4,4,At Risk
12723.0,3,5,183264.64,5,4,4,Champions
12724.0,4,4,145300.63,5,4,3,Loyal Customers
12725.0,370,1,82832.15000000001,1,1,3,Other
12726.0,27,7,328641.56,4,4,5,Champions
12727.0,10,9,352755.12,5,5,5,Champions
12728.0,70,4,120059.77,3,4,3,Potential Loyalist
12729.0,113,1,90717.86,2,1,3,About To Sleep
12731.0,23,14,694216.18,4,5,5,Champions
12732.0,179,1,21778.18,1,1,1,Lost
12733.0,233,1,53205.19,1,1,2,Lost
12734.0,352,1,7466.76,1,1,1,Lost
12735.0,314,2,106369.89,1,2,3,Other
12736.0,332,1,11702.0,1,1,1,Lost
12738.0,371,1,33761.71,1,1,2,Lost
12739.0,77,2,90889.93000000001,2,2,3,About To Sleep
12740.0,63,1,60540.16,3,1,2,About To Sleep
12743.0,133,2,319162.63,2,2,5,About To Sleep
12744.0,51,10,640578.0599999999,3,5,5,Potential Loyalist
12747.0,1,11,278907.21,5,5,4,Champions
12748.0,0,224,11912482.34,5,5,5,Champions
12749.0,3,8,615619.11,5,5,5,Champions
12750.0,128,1,42300.090000000004,2,1,2,About To Sleep
12752.0,80,1,119563.0,2,1,3,About To Sleep
12753.0,3,11,560320.33,5,5,5,Champions
12754.0,235,5,164573.54,1,4,4,At Risk
12755.0,249,4,13432.92,1,4,1,At Risk
12756.0,86,1,9561.32,2,1,1,About To Sleep
12757.0,15,19,907833.46,4,5,5,Champions
12758.0,116,2,220751.04,2,2,4,About To Sleep
12759.0,51,3,233554.63,3,3,4,Potential Loyalist
12762.0,7,2,178612.05000000002,5,2,4,Loyal Customers
12763.0,137,2,47405.16,2,2,2,About To Sleep
12764.0,316,1,114803.09,1,1,3,Other
12766.0,3,7,836637.32,5,4,5,Champions
12769.0,238,1,76349.08,1,1,3,Other
12770.0,210,1,26281.809999999998,1,1,1,Lost
12772.0,59,1,115826.11,3,1,3,About To Sleep
12775.0,16,6,202878.12,4,4,4,Champions
12778.0,19,7,134781.31,4,4,3,Loyal Customers
12779.0,20,12,402027.14,4,5,5,Champions
12781.0,20,5,75545.97,4,4,3,Loyal Customers
12782.0,4,6,282050.17,5,4,4,Champions
12783.0,1,8,194315.89,5,5,4,Champions
12784.0,8,2,127546.93000000001,5,2,3,Loyal Customers
12785.0,2,2,46653.18,5,2,2,Loyal Customers
12787.0,9,3,49123.24,5,3,2,Loyal Customers
12789.0,64,1,10336.68,3,1,1,About To Sleep
12790.0,191,1,68688.03,1,1,2,Lost
12791.0,373,1,1305.7,1,1,1,Lost
12792.0,256,1,40498.43,1,1,2,Lost
12793.0,334,2,88451.78,1,2,3,Other
12794.0,52,2,107980.01,3,2,3,About To Sleep
12795.0,18,1,36532.54,4,1,2,New Customers
12797.0,359,3,44174.67,1,3,2,At Risk
12798.0,9,3,14566.68,5,3,1,Loyal Customers
12802.0,183,2,65446.340000000004,1,2,2,Lost
12808.0,36,3,77570.15,3,3,3,Potential Loyalist
12809.0,167,2,66292.25,2,2,2,About To Sleep
12811.0,260,3,85955.24,1,3,3,At Risk
12812.0,44,1,55851.25,3,1,2,About To Sleep
12814.0,101,1,3226.7900000000004,2,1,1,About To Sleep
12815.0,147,2,104650.31999999999,2,2,3,About To Sleep
12816.0,95,2,64672.25,2,2,2,About To Sleep
12817.0,280,1,9683.35,1,1,1,Lost
12818.0,177,2,30800.7,2,2,1,About To Sleep
12820.0,2,4,142047.19,5,4,3,Loyal Customers
12821.0,213,1,12523.14,1,1,1,Lost
12822.0,70,3,84949.33,3,3,3,Potential Loyalist
12823.0,74,5,22279.64,2,4,1,At Risk
12824.0,59,1,70134.12,3,1,2,About To Sleep
12826.0,2,8,255168.62,5,5,4,Champions
12827.0,5,3,56689.26,5,3,2,Loyal Customers
12828.0,2,6,124149.78,5,4,3,Loyal Customers
12829.0,321,3,22044.53,1,3,1,At Risk
12830.0,37,7,78107.61,3,4,3,Potential Loyalist
12831.0,261,1,25543.13,1,1,1,Lost
12832.0,31,2,74764.53,4,2,2,Loyal Customers
12833.0,144,1,65253.049999999996,2,1,2,About To Sleep
12834.0,282,1,42330.240000000005,1,1,2,Lost
12836.0,58,4,412861.14,3,4,5,Potential Loyalist
12837.0,172,1,23193.73,2,1,1,About To Sleep
12838.0,33,2,362325.8,3,2,5,About To Sleep
12839.0,2,16,867757.04,5,5,5,Champions
12840.0,143,6,304763.77999999997,2,4,4,At Risk
12841.0,4,26,1025280.59,5,5,5,Champions
12842.0,69,2,97486.45999999999,3,2,3,About To Sleep
12843.0,65,9,284463.44,3,5,4,Potential Loyalist
12844.0,28,2,115933.76,4,2,3,Loyal Customers
12845.0,266,4,54580.25,1,4,2,At Risk
12847.0,21,1,253640.4,4,1,4,New Customers
12849.0,30,2,110068.89,4,2,3,Loyal Customers
12851.0,96,1,127904.22,2,1,3,About To Sleep
12852.0,289,2,34448.52,1,2,2,Lost
12853.0,107,9,197523.46,2,5,4,At Risk
12854.0,78,5,281745.23,2,4,4,At Risk
12855.0,372,1,6166.5,1,1,1,Lost
12856.0,7,8,718270.23,5,5,5,Champions
12857.0,210,2,132283.93,1,2,3,Other
12863.0,51,2,19899.059999999998,3,2,1,About To Sleep
12864.0,137,1,2601.18,2,1,1,About To Sleep
12865.0,25,3,246395.84,4,3,4,Loyal Customers
12866.0,282,1,43891.58,1,1,2,Lost
12867.0,25,10,1377671.65,4,5,5,Champions
12868.0,185,6,265615.99,1,4,4,At Risk
12870.0,365,1,3130.69,1,1,1,Lost
12871.0,83,2,31876.32,2,2,1,About To Sleep
12872.0,326,2,166025.02,1,2,4,Other
12873.0,281,1,11614.99,1,1,1,Lost
12875.0,142,2,10145.7,2,2,1,About To Sleep
12876.0,57,2,205777.86,3,2,4,About To Sleep
12877.0,3,12,437712.27,5,5,5,Champions
12878.0,17,3,108656.0,4,3,3,Loyal Customers
12879.0,44,4,27742.4,3,4,1,Potential Loyalist
12881.0,275,1,18812.47,1,1,1,Lost
12882.0,8,2,27355.0,5,2,1,Loyal Customers
12883.0,24,4,158886.5,4,4,4,Champions
12884.0,87,1,15977.05,2,1,1,About To Sleep
12885.0,62,4,179946.67,3,4,4,Potential Loyalist
12886.0,67,3,217268.83,3,3,4,Potential Loyalist
12888.0,213,4,16575.15,1,4,1,At Risk
12890.0,23,1,229965.89,4,1,4,New Customers
12891.0,185,3,9567.03,1,3,1,At Risk
12893.0,30,1,76672.42,4,1,3,New Customers
12895.0,41,3,64519.81,3,3,2,Potential Loyalist
12897.0,204,2,4259.0599999999995,1,2,1,Lost
12901.0,8,36,307135.27,5,5,4,Champions
12902.0,264,1,25004.73,1,1,1,Lost
12904.0,17,2,197212.82,4,2,4,Loyal Customers
12906.0,11,5,150647.0,4,4,4,Champions
12908.0,58,4,24717.760000000002,3,4,1,Potential Loyalist
12909.0,39,8,243043.59,3,5,4,Potential Loyalist
12910.0,22,8,175996.37,4,5,4,Champions
12912.0,2,5,52156.94,5,4,2,Loyal Customers
12913.0,4,5,128124.58,5,4,3,Loyal Customers
12915.0,148,2,65518.59,2,2,2,About To Sleep
12916.0,138,5,287924.77999999997,2,4,4,At Risk
12917.0,127,1,2928.2799999999997,2,1,1,About To Sleep
12919.0,7,8,120021.47,5,5,3,Loyal Customers
12920.0,16,1,86104.78,4,1,3,New Customers
12921.0,3,50,1800032.86,5,5,5,Champions
12922.0,160,1,63402.08,2,1,2,About To Sleep
12923.0,63,1,49664.42,3,1,2,About To Sleep
12924.0,87,5,91172.88,2,4,3,At Risk
12925.0,4,2,113615.81999999999,5,2,3,Loyal Customers
12928.0,34,5,244725.28,3,4,4,Potential Loyalist
12929.0,121,2,19605.629999999997,2,2,1,About To Sleep
12930.0,77,4,71841.82,2,4,2,At Risk
12931.0,21,20,288971.28,4,5,4,Champions
12933.0,23,4,292229.25,4,4,4,Champions
12935.0,1,8,336359.2,5,5,5,Champions
12936.0,16,5,160039.75,4,4,4,Champions
12937.0,14,4,323008.7,4,4,5,Champions
12938.0,25,1,16355.099999999999,4,1,1,New Customers
12939.0,63,8,114618.69,3,5,3,Potential Loyalist
12940.0,45,4,249346.73,3,4,4,Potential Loyalist
12942.0,130,3,191599.63,2,3,4,At Risk
12943.0,300,1,3744.72,1,1,1,Lost
12944.0,35,2,80358.89,3,2,3,About To Sleep
12945.0,287,1,73759.95,1,1,2,Lost
12947.0,143,11,275126.6,2,5,4,At Risk
12948.0,15,8,377842.68,4,5,5,Champions
12949.0,30,10,530588.71,4,5,5,Champions
12950.0,1,3,47266.39,5,3,2,Loyal Customers
12951.0,8,8,198540.68,5,5,4,Champions
12952.0,5,5,203418.53,5,4,4,Champions
12953.0,9,1,47587.19,5,1,2,New Customers
12955.0,0,14,493966.02999999997,5,5,5,Champions
12956.0,305,1,52827.13,1,1,2,Lost
12957.0,3,12,609745.84,5,5,5,Champions
12962.0,6,2,29950.64,5,2,1,Loyal Customers
12963.0,7,9,233014.72,5,5,4,Champions
12965.0,88,1,330078.66,2,1,5,About To Sleep
12966.0,9,1,11465.36,5,1,1,New Customers
12967.0,2,4,114005.17,5,4,3,Loyal Customers
12968.0,111,1,11204.1,2,1,1,About To Sleep
12970.0,6,4,395587.75,5,4,5,Champions
12971.0,3,89,753251.92,5,5,5,Champions
12974.0,197,1,22277.73,1,1,1,Lost
12976.0,211,1,74980.16,1,1,2,Lost
12977.0,155,1,12839.91,2,1,1,About To Sleep
12980.0,155,12,53629.869999999995,2,5,2,At Risk
12981.0,29,2,63224.14,4,2,2,Loyal Customers
12982.0,239,2,90948.1,1,2,3,Other
12984.0,18,1,8463.99,4,1,1,New Customers
12985.0,0,3,187394.03,5,3,4,Loyal Customers
12987.0,73,3,83405.03,2,3,3,At Risk
12988.0,291,1,257724.78,1,1,4,Other
12989.0,2,19,198762.17,5,5,4,Champions
12990.0,30,3,26925.02,4,3,1,Loyal Customers
12991.0,22,2,66119.27,4,2,2,Loyal Customers
12993.0,22,4,63568.65,4,4,2,Loyal Customers
12994.0,3,5,173927.37,5,4,4,Champions
12995.0,77,2,9530.15,2,2,1,About To Sleep
12997.0,21,7,169160.63,4,4,4,Champions
12999.0,195,3,74799.39,1,3,2,At Risk
13000.0,106,3,64024.02,2,3,2,At Risk
13001.0,3,15,877866.22,5,5,5,Champions
13002.0,317,1,23140.12,1,1,1,Lost
13003.0,105,3,14210.570000000002,2,3,1,At Risk
13004.0,11,22,1128569.47,4,5,5,Champions
13005.0,173,3,64989.409999999996,2,3,2,At Risk
13006.0,55,1,19008.66,3,1,1,About To Sleep
13008.0,322,2,35976.55,1,2,2,Lost
13011.0,371,1,6022.16,1,1,1,Lost
13012.0,8,11,289624.3,5,5,4,Champions
13013.0,0,15,560668.8,5,5,5,Champions
13014.0,2,16,317002.57,5,5,5,Champions
13015.0,52,5,453705.15,3,4,5,Potential Loyalist
13016.0,72,3,110061.34,2,3,3,At Risk
13017.0,6,1,4288.75,5,1,1,New Customers
13018.0,15,29,1134387.49,4,5,5,Champions
13021.0,3,12,307237.89,5,5,4,Champions
13023.0,63,2,96873.65,3,2,3,About To Sleep
13026.0,0,8,107545.64,5,5,3,Loyal Customers
13027.0,113,6,80473.19,2,4,3,At Risk
13028.0,22,3,114117.21,4,3,3,Loyal Customers
13029.0,30,3,17972.75,4,3,1,Loyal Customers
13030.0,10,2,235504.87,5,2,4,Loyal Customers
13032.0,38,3,203406.25,3,3,4,Potential Loyalist
13033.0,356,1,38982.39,1,1,2,Lost
13034.0,54,2,96380.75,3,2,3,About To Sleep
13035.0,57,3,71721.14,3,3,2,Potential Loyalist
13037.0,137,3,111507.21,2,3,3,At Risk
